labels,Y,X,Z,sph_theta,sph_phi,sph_radius,theta,radius,type,ref,urchan
E1,-5.787677636,5.520863216,-2.577468644,-46.3515894409914,-17.8610754062197,8.40359968577988,46.3515894409914,0.599228196701221,,,4
E2,-5.291804727,6.709097557,0.307434896,-38.2646318578571,2.06054404808658,8.5504212477118,38.2646318578571,0.488552533066186,,,5
E3,-3.864122447,7.63424051,3.067770143,-26.8465607545896,19.7244057775802,9.08979010209898,26.8465607545896,0.390419967902332,,,6
E4,-2.868837559,7.145708546,4.989564557,-21.874325153333,32.9427475248263,9.17535470882609,21.874325153333,0.316984735973187,,,7
E5,-1.479340453,5.68662139,6.812878187,-14.5819442660621,49.2232674267704,8.99674497804557,14.5819442660621,0.226537403184609,,,8
E6,-0,3.806770224,7.891304964,-0,64.247310822036,8.7615177665279,0,0.143070495433133,,,9
E7,1.223800252,1.558864431,8.44043914,38.133998380822,76.7860583820694,8.66999182508704,-38.133998380822,0.0734107867662809,,,10
E8,-4.221901505,7.998817387,-1.354789681,-27.8257963683378,-8.51895388816935,9.14554465235608,27.8257963683378,0.547327521600941,,,11
E9,-2.695405558,8.884820317,1.088308144,-16.8763273916297,6.68544655975904,9.34824356784578,16.8763273916297,0.462858630223561,,,12
E10,-1.830882336,8.708839134,3.18709115,-11.8725454091428,19.7040587166518,9.45270115832374,11.8725454091428,0.390533007129712,,,13
E11,-0,7.96264703,5.044718001,-0,32.3562153877034,9.42618307874302,0,0.320243247846092,,,14
E12,1.479340453,5.68662139,6.812878187,14.5819442660621,49.2232674267704,8.99674497804557,-14.5819442660621,0.226537403184609,,,15
E13,2.435870762,3.254307219,7.608766206,36.8151001737827,61.8867161194391,8.62654652931111,-36.8151001737827,0.15618491044756,,,16
E14,-1.270447661,9.479016328,-0.947183306,-7.63371078286657,-5.65605181140152,9.6105641884853,7.63371078286657,0.531422510063342,,,17
E15,-0,9.087440894,1.333345013,-0,8.34710323775169,9.1847368457477,0,0.453627204234713,,,18
E16,-0,9.076490798,3.105438474,-0,18.8879138098615,9.59304087982419,0,0.395067145500769,,,19
E18,1.830882336,8.708839134,3.18709115,11.8725454091428,19.7040587166518,9.45270115832374,-11.8725454091428,0.390533007129712,,,21
E19,2.868837559,7.145708546,4.989564557,21.874325153333,32.9427475248263,9.17535470882609,-21.874325153333,0.316984735973187,,,22
E20,3.825797111,5.121648995,5.942844877,36.7591949568984,42.9109626443444,8.7284258142351,-36.7591949568984,0.261605763086976,,,23
E21,1.270447661,9.479016328,-0.947183306,7.63371078286657,-5.65605181140152,9.6105641884853,-7.63371078286657,0.531422510063342,,,24
E22,2.695405558,8.884820317,1.088308144,16.8763273916297,6.68544655975904,9.34824356784578,-16.8763273916297,0.462858630223561,,,25
E23,3.864122447,7.63424051,3.067770143,26.8465607545896,19.7244057775802,9.08979010209898,-26.8465607545896,0.390419967902332,,,26
E24,4.459387187,6.021159964,4.365321482,36.5243617118728,30.2255143836091,8.67159345431201,-36.5243617118728,0.332080475646616,,,27
E25,4.221901505,7.998817387,-1.354789681,27.8257963683378,-8.51895388816935,9.14554465235608,-27.8257963683378,0.547327521600941,,,28
E26,5.291804727,6.709097557,0.307434896,38.2646318578571,2.06054404808658,8.5504212477118,-38.2646318578571,0.488552533066186,,,29
E27,5.682547954,5.453384344,2.836565436,46.1789093469774,19.8067309630265,8.37119200147767,-46.1789093469774,0.389962605760964,,,30
